id,nomeSenador,nomeSenadorCompleto,urlFoto,siglaPart
0,Acir Gurgacz,Acir Marcos Gurgacz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,PDT
1,Alessandro Vieira,Alessandro Vieira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,PSDB
2,Alexandre Silveira,Alexandre Silveira de Oliveira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg,PSD
3,Alvaro Dias,Alvaro Fernandes Dias,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,PODEMOS
4,Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,PSD
5,Carlos Fávaro,Carlos Henrique Baqueta Fávaro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg,PSD
6,Carlos Portinho,Carlos Francisco Portinho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,PL
7,Carlos Viana,Carlos Alberto Dias Viana,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,MDB
8,Chico Rodrigues,Francisco de Assis Rodrigues,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,DEM
9,Cid Gomes,Cid Ferreira Gomes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,PDT
10,Confúcio Moura,Confúcio Aires Moura,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,MDB
11,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,PP
12,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,DEM
13,Dário Berger,Dário Elias Berger,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg,MDB
14,Eduardo Braga,Carlos Eduardo de Souza Braga,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,MDB
15,Eduardo Girão,Luis Eduardo Grangeiro Girão,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,PODEMOS
16,Eduardo Gomes,Carlos Eduardo Torres Gomes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,MDB
17,Eliane Nogueira,Eliane e Silva Nogueira Lima,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg,PP
18,Eliziane Gama,Eliziane Pereira Gama Melo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,CIDADANIA
19,Elmano Férrer,Elmano Férrer de Almeida,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg,PP
20,Esperidião Amin,Esperidião Amin Helou Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,PP
21,Fabiano Contarato,Fabiano Contarato,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,PT
22,Fernando Bezerra Coelho,Fernando Bezerra de Souza Coelho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg,MDB
23,Fernando Collor,Fernando Affonso Collor de Mello,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,PROS
24,Flávio Arns,Flávio José Arns,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,PODEMOS
25,Flávio Bolsonaro,Flávio Nantes Bolsonaro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,PL
26,Giordano,Alexandre Luiz Giordano,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,MDB
27,Humberto Costa,Humberto Sérgio Costa Lima,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,PT
28,Irajá,Irajá Silvestre Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,PSD
29,Izalci Lucas,Izalci Lucas Ferreira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,PSDB
30,Jader Barbalho,Jader Fontenelle Barbalho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,MDB
31,Jaques Wagner,Jaques Wagner,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,PT
32,Jarbas Vasconcelos,Jarbas de Andrade Vasconcelos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4545.jpg,MDB
33,Jayme Campos,Jayme Veríssimo de Campos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,DEM
34,Jean Paul Prates,Jean Paul Terra Prates,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5627.jpg,PT
35,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,PODEMOS
36,Jorginho Mello,Jorginho dos Santos Mello,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5350.jpg,PL
37,José Serra,José Serra,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg,PSDB
38,Kátia Abreu,Kátia Regina de Abreu,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1249.jpg,PP
39,Lasier Martins,Lasier Costa Martins,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg,PODEMOS
40,Leila Barros,Leila Gomes de Barros Rêgo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,CIDADANIA
41,Lucas Barreto,Luiz Cantuária Barreto,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,PSD
42,Luis Carlos Heinze,Luis Carlos Heinze,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,PP
43,Luiz do Carmo,Luiz Carlos do Carmo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5585.jpg,MDB
44,Mailza Gomes,Mailza Assis da Silva,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5557.jpg,PP
45,Mara Gabrilli,Mara Cristina Gabrilli,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,PSDB
46,Marcelo Castro,Marcelo Costa e Castro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,MDB
47,Marcio Bittar,Márcio Miguel Bittar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,PSL
48,Marcos Rogério,Marcos Rogério da Silva Brito,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,PL
49,Marcos do Val,Marcos Ribeiro do Val,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,PODEMOS
50,Maria do Carmo Alves,Maria do Carmo do Nascimento Alves,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1023.jpg,DEM
51,Mecias de Jesus,Antônio Mecias Pereira de Jesus,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,REPUBLICANOS
52,Nelsinho Trad,Nelson Trad Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,PSD
53,Nilda Gondim,Ozanilda Gondim Vital do Rego,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5281.jpg,MDB
54,Omar Aziz,Omar José Abdel Aziz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,PSD
55,Oriovisto Guimarães,Oriovisto Guimaraes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,PODEMOS
56,Otto Alencar,Otto Roberto Mendonça de Alencar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,PSD
57,Paulo Paim,Paulo Renato Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,PT
58,Paulo Rocha,Paulo Roberto Galvão da Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg,PT
59,Plínio Valério,Francisco Plínio Valério Tomaz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,PSDB
60,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,REDE
61,Reguffe,José Antônio Machado Reguffe,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5236.jpg,PODEMOS
62,Renan Calheiros,José Renan Vasconcelos Calheiros,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,MDB
63,Roberto Rocha,Roberto Coelho Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg,PSDB
64,Rodrigo Cunha,Rodrigo Santos Cunha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,PSDB
65,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,PSD
66,Rogério Carvalho,Rogério Carvalho Santos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,PT
67,Romário,Romario de Souza Faria,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,PL
68,Rose de Freitas,Rosilda de Freitas,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg,MDB
69,Simone Tebet,Simone Nassar Tebet,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5527.jpg,MDB
70,Soraya Thronicke,Soraya Vieira Thronicke,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,PSL
71,Styvenson Valentim,Eann Styvenson Valentim Mendes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,PODEMOS
72,Sérgio Petecão,Sérgio de Oliveira Cunha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,PSD
73,Tasso Jereissati,Tasso Ribeiro Jereissati,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,PSDB
74,Telmário Mota,Telmário Mota de Oliveira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5535.jpg,PROS
75,Vanderlan Cardoso,Vanderlan Vieira Cardoso,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,PSD
76,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,MDB
77,Wellington Fagundes,Wellington Antonio Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
78,Weverton,Weverton Rocha Marques de Sousa,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,PDT
79,Zenaide Maia,Zenaide Maia Calado Pereira dos Santos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,PROS
80,Zequinha Marinho,José da Cruz Marinho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,PL